SNR_Target_dB, MSE_LS                , MSE_LMMSE             , Gain_dB
-5.0         , 0.006873046011723832  , 0.006384062267527115  , 0.32052137016883375
-5.0         , 0.23713828392831726   , 0.2338203766634476    , 0.06119316946495837
-5.0         , 0.023936769717209025  , 0.024023784838195644  , -0.015758878812708363
-5.0         , 0.05578558465638031   , 0.05472723301627987   , 0.08318498058863794
-5.0         , 0.05680853971282068   , 0.05599302646903701   , 0.06279683597563972
-5.0         , 0.04076612210453239   , 0.040197394283987824  , 0.06101499239319742
-5.0         , 0.03680059141990491   , 0.03631297297612892   , 0.057929917951430474
-5.0         , 0.06437386514069565   , 0.06436166116259744   , 0.0008234122333431258
-5.0         , 0.14018230274107904   , 0.14060057615402793   , -0.012939105849731583
-5.0         , 0.09658000471366585   , 0.09458942191015444   , 0.09044651005745999
-5.0         , 0.07057358202336446   , 0.06957037454854681   , 0.06217819495767919
-5.0         , 0.009651148017307883  , 0.009722570934147362  , -0.032021440248479596
-5.0         , 0.09709948065008954   , 0.09720841103093532   , -0.004869371785123401
-5.0         , 0.042912884408172536  , 0.04211015501305993   , 0.08200866687347955
-5.0         , 0.011230241944207442  , 0.011542002641057184  , -0.11892056550795252
-5.0         , 0.08198019363074073   , 0.08149959621548558   , 0.025534826897576968
-5.0         , 0.037721043942148     , 0.03738075536853366   , 0.03935630371078116
-5.0         , 0.02065998353359094   , 0.020425816926429072  , 0.04950535970548196
-5.0         , 0.01723090011800223   , 0.017235527171549008  , -0.001166064482417603
-5.0         , 0.02837407722612949   , 0.028117184864520823  , 0.03949910128379243
-5.0         , 0.06573775639588379   , 0.06414904372154369   , 0.10624691023679789
-5.0         , 0.0382160345986946    , 0.037998328521121484  , 0.02481128266545547
-5.0         , 0.010829909306094085  , 0.010640442671963795  , 0.07665123496946853
-5.0         , 0.015331486081921803  , 0.014987743216294126  , 0.09848009330702567
-5.0         , 0.062495776239522405  , 0.06249541240372284   , 2.5283683079981503e-05
